type,subtype,updated_type,updated_subtype,updated_subsubtype,binned_latitude,binned_longitude,alert_count
JAM,Unclassified,Jam,Unclassified,Unclassified,41.73,-87.61,6
JAM,Unclassified,Jam,Unclassified,Unclassified,41.73,-87.57,6
HAZARD,HAZARD_ON_ROAD,Hazard,On_road,Unclassified,41.74,-87.56,6
HAZARD,HAZARD_ON_ROAD_OBJECT,Hazard,On_road,Object,41.95,-87.8,6
HAZARD,HAZARD_ON_ROAD_OBJECT,Hazard,On_road,Object,41.95,-87.79,6
HAZARD,Unclassified,Hazard,Unclassified,Unclassified,41.71,-87.62,6
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.93,-87.76,6
HAZARD,HAZARD_ON_ROAD,Hazard,On_road,Unclassified,41.78,-87.66,6
HAZARD,HAZARD_ON_ROAD_LANE_CLOSED,Hazard,On_road,Lane_closed,41.86,-87.65,6
ACCIDENT,ACCIDENT_MAJOR,Accident,Major,Unclassified,41.81,-87.71,6
HAZARD,HAZARD_ON_ROAD,Hazard,On_road,Unclassified,41.76,-87.71,6
ROAD_CLOSED,Unclassified,Road_closed,Unclassified,Unclassified,41.94,-87.79,6
ROAD_CLOSED,Unclassified,Road_closed,Unclassified,Unclassified,41.94,-87.78,6
ACCIDENT,ACCIDENT_MAJOR,Accident,Major,Unclassified,41.72,-87.58,6
ROAD_CLOSED,Unclassified,Road_closed,Unclassified,Unclassified,41.99,-87.8,6
HAZARD,HAZARD_WEATHER_FOG,Hazard,Weather,Fog,41.69,-87.6,6
HAZARD,HAZARD_WEATHER_FOG,Hazard,Weather,Fog,41.72,-87.62,6
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.97,-87.81,6
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.97,-87.74,6
HAZARD,HAZARD_ON_ROAD,Hazard,On_road,Unclassified,41.77,-87.71,6
HAZARD,HAZARD_ON_ROAD,Hazard,On_road,Unclassified,41.77,-87.67,6
HAZARD,HAZARD_WEATHER_FOG,Hazard,Weather,Fog,41.66,-87.59,6
HAZARD,HAZARD_WEATHER_FLOOD,Hazard,Weather,Flood,42.01,-87.69,6
HAZARD,HAZARD_ON_ROAD_OBJECT,Hazard,On_road,Object,41.94,-87.74,6
HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,Hazard,On_road,Construction,41.98,-87.89,6
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.74,-87.66,6
HAZARD,HAZARD_ON_ROAD_EMERGENCY_VEHICLE,Hazard,On_road,Emergency_vehicle,41.96,-87.91,6
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.77,-87.72,6
JAM,JAM_MODERATE_TRAFFIC,Jam,Moderate_traffic,Unclassified,41.9,-87.71,6
ACCIDENT,ACCIDENT_MAJOR,Accident,Major,Unclassified,41.96,-87.69,6
JAM,Unclassified,Jam,Unclassified,Unclassified,41.99,-87.89,6
HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Hazard,On_road,Traffic_light_fault,41.88,-87.76,6
HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Hazard,On_road,Traffic_light_fault,41.88,-87.73,6
JAM,Unclassified,Jam,Unclassified,Unclassified,41.99,-87.82,6
HAZARD,HAZARD_ON_ROAD_CAR_STOPPED,Hazard,On_road,Car_stopped,41.98,-87.74,6
HAZARD,HAZARD_ON_ROAD_CAR_STOPPED,Hazard,On_road,Car_stopped,41.98,-87.73,6
HAZARD,HAZARD_ON_ROAD_CAR_STOPPED,Hazard,On_road,Car_stopped,41.98,-87.72,6
HAZARD,HAZARD_WEATHER,Hazard,Weather,Unclassified,41.91,-87.68,6
HAZARD,HAZARD_WEATHER_FOG,Hazard,Weather,Fog,41.89,-87.62,6
HAZARD,HAZARD_WEATHER_FOG,Hazard,Weather,Fog,41.92,-87.67,6
ROAD_CLOSED,Unclassified,Road_closed,Unclassified,Unclassified,41.9,-87.75,6
ROAD_CLOSED,Unclassified,Road_closed,Unclassified,Unclassified,41.91,-87.69,6
ACCIDENT,ACCIDENT_MAJOR,Accident,Major,Unclassified,41.68,-87.66,5
ROAD_CLOSED,Unclassified,Road_closed,Unclassified,Unclassified,42.01,-87.7,5
ROAD_CLOSED,Unclassified,Road_closed,Unclassified,Unclassified,42.0,-87.71,5
HAZARD,HAZARD_WEATHER_FLOOD,Hazard,Weather,Flood,42.02,-87.69,5
ROAD_CLOSED,Unclassified,Road_closed,Unclassified,Unclassified,41.96,-87.66,5
HAZARD,HAZARD_WEATHER_FOG,Hazard,Weather,Fog,41.7,-87.6,5
HAZARD,HAZARD_WEATHER_FOG,Hazard,Weather,Fog,41.77,-87.63,5
HAZARD,HAZARD_WEATHER_FOG,Hazard,Weather,Fog,41.78,-87.63,5
HAZARD,HAZARD_WEATHER_FOG,Hazard,Weather,Fog,41.82,-87.63,5
HAZARD,HAZARD_WEATHER_FLOOD,Hazard,Weather,Flood,41.97,-87.71,5
ROAD_CLOSED,Unclassified,Road_closed,Unclassified,Unclassified,41.92,-87.74,5
ROAD_CLOSED,Unclassified,Road_closed,Unclassified,Unclassified,41.93,-87.8,5
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.69,-87.61,5
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.7,-87.68,5
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.7,-87.66,5
HAZARD,HAZARD_ON_ROAD_POT_HOLE,Hazard,On_road,Pot_hole,41.77,-87.74,5
HAZARD,HAZARD_ON_ROAD,Hazard,On_road,Unclassified,41.75,-87.56,5
HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Hazard,On_road,Traffic_light_fault,41.67,-87.6,5
ROAD_CLOSED,Unclassified,Road_closed,Unclassified,Unclassified,41.93,-87.79,5
ROAD_CLOSED,Unclassified,Road_closed,Unclassified,Unclassified,41.93,-87.75,5
HAZARD,HAZARD_WEATHER_FOG,Hazard,Weather,Fog,41.85,-87.62,5
HAZARD,HAZARD_WEATHER_FLOOD,Hazard,Weather,Flood,41.95,-87.7,5
ROAD_CLOSED,Unclassified,Road_closed,Unclassified,Unclassified,41.91,-87.79,5
HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Hazard,On_road,Traffic_light_fault,41.69,-87.61,5
HAZARD,HAZARD_ON_ROAD_OBJECT,Hazard,On_road,Object,41.8,-87.6,5
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.75,-87.58,5
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.76,-87.7,5
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.76,-87.66,5
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.74,-87.65,5
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.94,-87.74,5
HAZARD,HAZARD_ON_ROAD_EMERGENCY_VEHICLE,Hazard,On_road,Emergency_vehicle,41.79,-87.58,5
HAZARD,HAZARD_ON_ROAD,Hazard,On_road,Unclassified,41.75,-87.68,5
HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Hazard,On_road,Traffic_light_fault,41.7,-87.59,5
HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Hazard,On_road,Traffic_light_fault,41.71,-87.66,5
HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Hazard,On_road,Traffic_light_fault,41.71,-87.65,5
HAZARD,HAZARD_WEATHER_FOG,Hazard,Weather,Fog,41.98,-87.78,5
HAZARD,HAZARD_WEATHER_FLOOD,Hazard,Weather,Flood,41.94,-87.72,5
HAZARD,HAZARD_WEATHER_FOG,Hazard,Weather,Fog,41.98,-87.65,5
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.66,-87.64,5
HAZARD,HAZARD_ON_ROAD,Hazard,On_road,Unclassified,41.78,-87.71,5
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.76,-87.58,5
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.76,-87.57,5
HAZARD,Unclassified,Hazard,Unclassified,Unclassified,41.67,-87.6,5
HAZARD,Unclassified,Hazard,Unclassified,Unclassified,41.67,-87.59,5
HAZARD,HAZARD_WEATHER_FLOOD,Hazard,Weather,Flood,41.93,-87.7,5
HAZARD,HAZARD_ON_ROAD_OBJECT,Hazard,On_road,Object,41.95,-87.85,5
HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Hazard,On_road,Traffic_light_fault,41.72,-87.58,5
HAZARD,HAZARD_ON_ROAD_OBJECT,Hazard,On_road,Object,41.96,-87.85,5
HAZARD,HAZARD_WEATHER_FLOOD,Hazard,Weather,Flood,41.91,-87.68,5
HAZARD,HAZARD_WEATHER_FLOOD,Hazard,Weather,Flood,41.91,-87.66,5
ACCIDENT,ACCIDENT_MAJOR,Accident,Major,Unclassified,41.81,-87.74,5
HAZARD,HAZARD_WEATHER_FLOOD,Hazard,Weather,Flood,41.9,-87.74,5
HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Hazard,On_road,Traffic_light_fault,41.75,-87.63,5
ROAD_CLOSED,Unclassified,Road_closed,Unclassified,Unclassified,41.88,-87.7,5
ROAD_CLOSED,Unclassified,Road_closed,Unclassified,Unclassified,41.85,-87.72,5
ROAD_CLOSED,Unclassified,Road_closed,Unclassified,Unclassified,41.85,-87.61,5
ROAD_CLOSED,Unclassified,Road_closed,Unclassified,Unclassified,41.86,-87.73,5
ROAD_CLOSED,Unclassified,Road_closed,Unclassified,Unclassified,41.86,-87.68,5
HAZARD,HAZARD_ON_ROAD_OBJECT,Hazard,On_road,Object,41.69,-87.67,5
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.91,-87.77,5
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.91,-87.76,5
